0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
0,0,0,0,0,0,0,0,0,2,4
